p,Model,Train_AUC,Train_F1,Test_AUC,Test_F1,Train_Time
0.0,Spectral SIM (Flipped),0.9135346938775508,0.8235294117647058,0.9144888888888888,0.8518518518518519,3.6286799907684326
0.0,VQC (StronglyEntangling),0.629061224489796,0.5764705882352941,0.5594666666666667,0.5103448275862069,218.53741884231567
0.0,VQC (BasicEntangling),0.6070204081632653,0.5416666666666666,0.6252444444444445,0.581081081081081,169.89328241348267
0.0,QSVM (AmplitudeEmbedding),0.9995941558441558,0.9767441860465116,0.8748444444444444,0.8115942028985508,291.5036132335663
0.05,Spectral SIM (Flipped),0.9400816326530612,0.8578947368421053,0.8904888888888889,0.8301886792452831,4.095920562744141
0.05,VQC (StronglyEntangling),0.5278367346938775,0.5176470588235295,0.47111111111111115,0.36363636363636365,255.63091397285461
0.05,VQC (BasicEntangling),0.5124244897959184,0.5429362880886427,0.4680888888888889,0.4666666666666667,196.00697493553162
0.05,QSVM (AmplitudeEmbedding),0.9301948051948052,0.8181818181818182,0.816,0.7210884353741497,781.8309888839722
0.1,Spectral SIM (Flipped),0.9155265306122449,0.8364611260053619,0.8613333333333333,0.7894736842105263,4.095920562744141
0.1,VQC (StronglyEntangling),0.4995918367346939,0.4823529411764706,0.4512,0.4117647058823529,255.63091397285461
0.1,VQC (BasicEntangling),0.5106938775510204,0.5333333333333333,0.4513777777777778,0.43243243243243246,196.00697493553162
0.1,QSVM (AmplitudeEmbedding),0.7686688311688312,0.6590909090909091,0.7506666666666666,0.676056338028169,675.0918943881989
0.15,Spectral SIM (Flipped),0.8836244897959185,0.8010899182561307,0.8353777777777777,0.7741935483870968,4.095920562744141
0.15,VQC (StronglyEntangling),0.472195918367347,0.45294117647058824,0.4318222222222222,0.4233576642335766,255.63091397285461
0.15,VQC (BasicEntangling),0.5094857142857143,0.5280898876404494,0.4384,0.410958904109589,196.00697493553162
0.15,QSVM (AmplitudeEmbedding),0.7483766233766234,0.6,0.7430222222222223,0.6507936507936508,673.040364742279
0.2,Spectral SIM (Flipped),0.8526040816326531,0.7713498622589532,0.8094222222222223,0.7466666666666667,4.095920562744141
0.2,VQC (StronglyEntangling),0.4454530612244898,0.45272206303724927,0.4135111111111111,0.42857142857142855,255.63091397285461
0.2,VQC (BasicEntangling),0.5097469387755102,0.5348189415041783,0.4263111111111111,0.38666666666666666,196.00697493553162
0.2,QSVM (AmplitudeEmbedding),0.7426948051948052,0.6,0.7436444444444444,0.64,683.5241837501526
