top_k,p,Train_AUC,Train_F1,Test_AUC,Test_F1,Train_Time
4,0.0,0.9039346938775511,0.8093841642228738,0.8958222222222222,0.8175182481751825,2.928424596786499
4,0.05,0.889861224489796,0.7976190476190477,0.8782222222222221,0.7794117647058824,2.928424596786499
4,0.1,0.8710530612244898,0.7575757575757576,0.8606222222222222,0.7536231884057971,2.928424596786499
4,0.2,0.8326530612244897,0.7155963302752294,0.8220444444444445,0.7111111111111111,2.928424596786499
6,0.0,0.9012571428571429,0.8306010928961749,0.9004444444444445,0.8299319727891157,0.712944746017456
6,0.05,0.9054367346938775,0.8429752066115702,0.9031111111111112,0.8391608391608392,0.712944746017456
6,0.1,0.9008979591836735,0.834733893557423,0.9050666666666667,0.8368794326241135,0.712944746017456
6,0.2,0.8719346938775512,0.783625730994152,0.8855111111111111,0.7669172932330827,0.712944746017456
8,0.0,0.9084734693877552,0.8493150684931506,0.8881777777777777,0.8194444444444444,0.8135066032409668
8,0.05,0.9141224489795918,0.8469945355191257,0.8963555555555556,0.8309859154929577,0.8135066032409668
8,0.1,0.9136,0.8493150684931506,0.8961777777777777,0.8251748251748252,0.8135066032409668
8,0.2,0.8969795918367347,0.8088642659279779,0.8833777777777778,0.821917808219178,0.8135066032409668
10,0.0,0.9241469387755102,0.8113207547169812,0.8741333333333334,0.7727272727272727,0.8816642761230469
10,0.05,0.9149061224489796,0.8099688473520249,0.8556444444444444,0.7611940298507462,0.8816642761230469
10,0.1,0.8946612244897959,0.7836990595611285,0.8289777777777778,0.7164179104477612,0.8816642761230469
10,0.2,0.8465632653061224,0.7261538461538461,0.7724444444444444,0.6618705035971223,0.8816642761230469
12,0.0,0.909191836734694,0.8457446808510638,0.8848,0.7755102040816326,0.9820804595947266
12,0.05,0.9115102040816327,0.8517520215633423,0.8830222222222223,0.7552447552447552,0.9820804595947266
12,0.1,0.9062857142857143,0.8346883468834688,0.8748444444444444,0.7671232876712328,0.9820804595947266
12,0.2,0.8882285714285715,0.7921348314606742,0.8448,0.7417218543046358,0.9820804595947266
14,0.0,0.9318204081632654,0.8260869565217391,0.9112888888888889,0.765625,1.0421998500823975
14,0.05,0.9081795918367348,0.7987012987012987,0.8775111111111111,0.6991869918699187,1.0421998500823975
14,0.1,0.8398040816326532,0.6889632107023411,0.8156444444444445,0.6774193548387096,1.0421998500823975
14,0.2,0.639673469387755,0.5448275862068965,0.6357333333333335,0.49206349206349204,1.0421998500823975
16,0.0,0.9454367346938776,0.8831908831908832,0.9224888888888888,0.8,1.2163136005401611
16,0.05,0.9445224489795918,0.8793103448275862,0.9183999999999999,0.7819548872180451,1.2163136005401611
16,0.1,0.935869387755102,0.8629737609329446,0.8961777777777779,0.7878787878787878,1.2163136005401611
16,0.2,0.9103020408163265,0.8152492668621701,0.8618666666666668,0.7727272727272727,1.2163136005401611
18,0.0,0.9368816326530612,0.8636363636363636,0.9121777777777778,0.8029197080291971,1.2182810306549072
18,0.05,0.9285551020408164,0.8563218390804598,0.8954666666666667,0.7857142857142857,1.2182810306549072
18,0.1,0.9066775510204081,0.8141592920353983,0.864,0.706766917293233,1.2182810306549072
18,0.2,0.8553795918367347,0.7289719626168224,0.7905777777777778,0.6212121212121212,1.2182810306549072
20,0.0,0.9494530612244899,0.8648648648648649,0.8938666666666667,0.7972972972972973,1.3553502559661865
20,0.05,0.9446204081632652,0.8719346049046321,0.8794666666666666,0.8108108108108109,1.3553502559661865
20,0.1,0.9200979591836734,0.8524590163934426,0.8483555555555555,0.7866666666666666,1.3553502559661865
20,0.2,0.8378448979591836,0.7458563535911602,0.7584,0.6838709677419355,1.3553502559661865
24,0.0,0.9455020408163266,0.8735632183908046,0.8906666666666667,0.8029197080291971,1.4282102584838867
24,0.05,0.9364244897959184,0.8670520231213873,0.8792888888888888,0.7611940298507462,1.4282102584838867
24,0.1,0.9130775510204081,0.8255813953488372,0.8471111111111111,0.75177304964539,1.4282102584838867
24,0.2,0.8375510204081633,0.7492795389048992,0.7722666666666667,0.6666666666666666,1.4282102584838867
28,0.0,0.9355755102040817,0.8521739130434782,0.9187555555555555,0.7938931297709924,1.6392629146575928
28,0.05,0.9219591836734694,0.8187134502923976,0.8947555555555556,0.7883211678832117,1.6392629146575928
28,0.1,0.8867918367346939,0.793002915451895,0.8528000000000001,0.7571428571428571,1.6392629146575928
28,0.2,0.8083591836734694,0.7288135593220338,0.7770666666666667,0.6842105263157895,1.6392629146575928
32,0.0,0.9474938775510203,0.8830409356725146,0.9214222222222223,0.8115942028985508,2.01889705657959
32,0.05,0.9279020408163265,0.8529411764705882,0.9086222222222222,0.8085106382978723,2.01889705657959
32,0.1,0.8968489795918367,0.8083832335329342,0.8778666666666668,0.7605633802816901,2.01889705657959
32,0.2,0.8234122448979593,0.7159763313609467,0.8188444444444445,0.6617647058823529,2.01889705657959
