dataset,n_qubits,seed,k,moment,accuracy,balanced,f1
EColi,4,0,8,second_moment,0.9087779690189329,0.7375230566534914,0.5891472868217055
EColi,4,0,8,covariance,0.891566265060241,0.6651778656126481,0.46153846153846156
EColi,4,0,16,second_moment,0.9122203098106713,0.7508563899868248,0.6106870229007634
EColi,4,0,16,covariance,0.9173838209982789,0.8049275362318841,0.6712328767123288
EColi,4,0,32,second_moment,0.9328743545611016,0.8138208168642951,0.7153284671532847
EColi,4,0,32,covariance,0.9397590361445783,0.863201581027668,0.7651006711409396
EColi,4,0,50,second_moment,0.9414802065404475,0.8414756258234519,0.7571428571428571
EColi,4,0,50,covariance,0.9380378657487092,0.8338208168642951,0.7428571428571429
EColi,4,0,64,second_moment,0.9380378657487092,0.8394993412384717,0.7464788732394366
EColi,4,0,64,covariance,0.9345955249569707,0.8375230566534915,0.7361111111111112
EColi,4,0,128,second_moment,0.9432013769363167,0.8538208168642951,0.7692307692307693
EColi,4,0,128,covariance,0.9432013769363167,0.8538208168642951,0.7692307692307693
EColi,4,1,8,second_moment,0.8950086058519794,0.7053581059216912,0.5196850393700787
EColi,4,1,8,covariance,0.9173838209982789,0.7943992018121022,0.6571428571428571
EColi,4,1,16,second_moment,0.9053356282271945,0.7523190594326394,0.5925925925925926
EColi,4,1,16,covariance,0.9173838209982789,0.8002642649120915,0.6619718309859155
EColi,4,1,32,second_moment,0.9173838209982789,0.8061293280120807,0.6666666666666666
EColi,4,1,32,covariance,0.9208261617900172,0.8022327688490993,0.6714285714285714
EColi,4,1,50,second_moment,0.9173838209982789,0.81199439111207,0.6712328767123288
EColi,4,1,50,covariance,0.9070567986230637,0.7474382483011541,0.5909090909090909
EColi,4,1,64,second_moment,0.9156626506024096,0.811010139143566,0.6666666666666666
EColi,4,1,64,covariance,0.9173838209982789,0.788534138712113,0.6521739130434783
EColi,4,1,128,second_moment,0.9173838209982789,0.7943992018121022,0.6571428571428571
EColi,4,1,128,covariance,0.9104991394148021,0.7904621939380865,0.6388888888888888
EColi,4,2,8,second_moment,0.8812392426850258,0.6867291271347249,0.5035971223021583
EColi,4,2,8,covariance,0.9139414802065404,0.744876660341556,0.6323529411764706
EColi,4,2,16,second_moment,0.9053356282271945,0.7398363377609107,0.6099290780141844
EColi,4,2,16,covariance,0.919104991394148,0.8015180265654649,0.6967741935483871
EColi,4,2,32,second_moment,0.9345955249569707,0.8252134724857685,0.75
EColi,4,2,32,covariance,0.927710843373494,0.7968097722960152,0.7123287671232876
EColi,4,2,50,second_moment,0.9173838209982789,0.7761385199240987,0.6712328767123288
EColi,4,2,50,covariance,0.9156626506024096,0.7653818785578748,0.6573426573426573
EColi,4,2,64,second_moment,0.9173838209982789,0.7761385199240987,0.6712328767123288
EColi,4,2,64,covariance,0.919104991394148,0.7722722960151802,0.6713286713286714
EColi,4,2,128,second_moment,0.9208261617900172,0.7879032258064516,0.6891891891891891
EColi,4,2,128,covariance,0.9242685025817556,0.7947936432637571,0.7027027027027027
EColi,4,3,8,second_moment,0.8932874354561101,0.686292987109684,0.5230769230769231
EColi,4,3,8,covariance,0.9139414802065404,0.7836683884778259,0.6753246753246753
EColi,4,3,16,second_moment,0.9036144578313253,0.7207757457303736,0.5882352941176471
EColi,4,3,16,covariance,0.9139414802065404,0.7931383498534134,0.6835443037974683
EColi,4,3,32,second_moment,0.9139414802065404,0.7884033691656196,0.6794871794871795
EColi,4,3,32,covariance,0.9122203098106713,0.7873912234166318,0.6751592356687898
EColi,4,3,50,second_moment,0.9173838209982789,0.8046326027269766,0.7
EColi,4,3,50,covariance,0.9156626506024096,0.7894155149146075,0.6838709677419355
EColi,4,3,64,second_moment,0.9053356282271945,0.7786076597328866,0.6540880503144654
EColi,4,3,64,covariance,0.9156626506024096,0.7941504956024013,0.6878980891719745
EColi,4,3,128,second_moment,0.9122203098106713,0.7779212620410443,0.6666666666666666
EColi,4,3,128,covariance,0.9139414802065404,0.7789334077900321,0.6710526315789473
EColi,4,4,8,second_moment,0.9018932874354562,0.7741563710123548,0.6459627329192547
EColi,4,4,8,covariance,0.9053356282271945,0.8228609625668449,0.6927374301675978
EColi,4,4,16,second_moment,0.8950086058519794,0.7700995758805089,0.6303030303030303
EColi,4,4,16,covariance,0.9173838209982789,0.815957495851005,0.7108433734939759
EColi,4,4,32,second_moment,0.8932874354561101,0.7550825189009773,0.6125
EColi,4,4,32,covariance,0.9259896729776248,0.8163608703669556,0.7295597484276729
EColi,4,4,50,second_moment,0.9208261617900172,0.817985893416928,0.7195121951219512
EColi,4,4,50,covariance,0.927710843373494,0.8220426885487737,0.7375
EColi,4,4,64,second_moment,0.9225473321858864,0.8003296146044625,0.7096774193548387
EColi,4,4,64,covariance,0.9242685025817556,0.8153466715839941,0.725
EColi,4,4,128,second_moment,0.9225473321858864,0.8049972340033191,0.7133757961783439
EColi,4,4,128,covariance,0.9225473321858864,0.8049972340033191,0.7133757961783439
EColi,6,0,8,second_moment,0.8984509466437177,0.7088801054018445,0.5354330708661418
EColi,6,0,8,covariance,0.9156626506024096,0.752832674571805,0.6201550387596899
EColi,6,0,16,second_moment,0.9001721170395869,0.7098682476943347,0.5396825396825397
EColi,6,0,16,covariance,0.9225473321858864,0.7681422924901187,0.6511627906976745
EColi,6,0,32,second_moment,0.919104991394148,0.7548089591567853,0.6299212598425197
EColi,6,0,32,covariance,0.927710843373494,0.7767852437417655,0.671875
EColi,6,0,50,second_moment,0.9173838209982789,0.7878919631093544,0.6571428571428571
EColi,6,0,50,covariance,0.9328743545611016,0.7967852437417655,0.7022900763358778
EColi,6,0,64,second_moment,0.9363166953528399,0.8328326745718051,0.7375886524822695
EColi,6,0,64,covariance,0.9345955249569707,0.8034519104084321,0.7121212121212122
EColi,6,0,128,second_moment,0.9432013769363167,0.8481422924901185,0.7659574468085106
EColi,6,0,128,covariance,0.9259896729776248,0.8098682476943346,0.6950354609929078
EColi,6,1,8,second_moment,0.9001721170395869,0.7259060511271707,0.5538461538461539
EColi,6,1,8,covariance,0.9001721170395869,0.7376361773271491,0.5671641791044776
EColi,6,1,16,second_moment,0.8932874354561101,0.6985087908531982,0.5079365079365079
EColi,6,1,16,covariance,0.9104991394148021,0.7611368784381405,0.6119402985074627
EColi,6,1,32,second_moment,0.9139414802065404,0.7689704454751375,0.6268656716417911
EColi,6,1,32,covariance,0.9156626506024096,0.7758197605436307,0.6370370370370371
EColi,6,1,50,second_moment,0.9018932874354562,0.7738108078955883,0.6068965517241379
EColi,6,1,50,covariance,0.9070567986230637,0.7826286269010894,0.625
EColi,6,1,64,second_moment,0.9036144578313253,0.7571998705641247,0.5942028985507246
EColi,6,1,64,covariance,0.9122203098106713,0.7679861935066336,0.6222222222222222
EColi,6,1,128,second_moment,0.9225473321858864,0.797351957717614,0.6715328467153284
EColi,6,1,128,covariance,0.9104991394148021,0.778732067738108,0.6285714285714286
EColi,6,2,8,second_moment,0.9036144578313253,0.7437025616698292,0.6111111111111112
EColi,6,2,8,covariance,0.8932874354561101,0.7132827324478178,0.5571428571428572
EColi,6,2,16,second_moment,0.9036144578313253,0.763199715370019,0.631578947368421
EColi,6,2,16,covariance,0.9122203098106713,0.7536171726755219,0.6382978723404256
EColi,6,2,32,second_moment,0.9139414802065404,0.7692481024667932,0.6575342465753424
EColi,6,2,32,covariance,0.9122203098106713,0.7536171726755219,0.6382978723404256
EColi,6,2,50,second_moment,0.9173838209982789,0.7761385199240987,0.6712328767123288
EColi,6,2,50,covariance,0.9225473321858864,0.7889112903225806,0.6938775510204082
EColi,6,2,64,second_moment,0.9087779690189329,0.7564753320683112,0.6344827586206897
EColi,6,2,64,covariance,0.9104991394148021,0.7526091081593929,0.6338028169014085
EColi,6,2,128,second_moment,0.9173838209982789,0.7761385199240987,0.6712328767123288
EColi,6,2,128,covariance,0.9087779690189329,0.7662239089184061,0.6442953020134228
EColi,6,3,8,second_moment,0.8502581755593803,0.6231094978826376,0.37410071942446044
EColi,6,3,8,covariance,0.8709122203098106,0.6684001116850482,0.46808510638297873
EColi,6,3,16,second_moment,0.8760757314974182,0.6951114523709805,0.5135135135135135
EColi,6,3,16,covariance,0.9036144578313253,0.7444506491693424,0.6164383561643836
EColi,6,3,32,second_moment,0.9036144578313253,0.7397156684815487,0.6111111111111112
EColi,6,3,32,covariance,0.8984509466437177,0.7556191539857602,0.6193548387096774
EColi,6,3,50,second_moment,0.9208261617900172,0.7877169714737773,0.6933333333333334
EColi,6,3,50,covariance,0.9001721170395869,0.7424263576713668,0.6081081081081081
EColi,6,3,64,second_moment,0.9104991394148021,0.7816440969798502,0.6666666666666666
EColi,6,3,64,covariance,0.9036144578313253,0.7397156684815487,0.6111111111111112
EColi,6,3,128,second_moment,0.9104991394148021,0.8053190004188189,0.6867469879518072
EColi,6,3,128,covariance,0.9104991394148021,0.7721741356042626,0.6578947368421053
EColi,6,4,8,second_moment,0.8691910499139415,0.6802046837543795,0.4864864864864865
EColi,6,4,8,covariance,0.8812392426850258,0.7059745528305366,0.5369127516778524
EColi,6,4,16,second_moment,0.8588640275387264,0.6741194910566107,0.4675324675324675
EColi,6,4,16,covariance,0.8709122203098106,0.7045569795316245,0.5222929936305732
EColi,6,4,32,second_moment,0.8640275387263339,0.6771620874054951,0.4768211920529801
EColi,6,4,32,covariance,0.9053356282271945,0.7901876267748479,0.6666666666666666
EColi,6,4,50,second_moment,0.8760757314974182,0.7309376728747925,0.5609756097560976
EColi,6,4,50,covariance,0.9087779690189329,0.7968836437396275,0.6787878787878788
EColi,6,4,64,second_moment,0.8898450946643718,0.7577217407339112,0.6097560975609756
EColi,6,4,64,covariance,0.9053356282271945,0.7761847685782777,0.6540880503144654
EColi,6,4,128,second_moment,0.9139414802065404,0.8045938594873686,0.6951219512195121
EColi,6,4,128,covariance,0.9087779690189329,0.7922160243407708,0.6748466257668712
20News,4,0,8,second_moment,0.7346938775510204,0.725202967525196,0.7726550079491256
20News,4,0,8,covariance,0.7272727272727273,0.7152435610302352,0.7699530516431925
20News,4,0,16,second_moment,0.764378478664193,0.7582796752519597,0.7941653160453809
20News,4,0,16,covariance,0.7717996289424861,0.7605123180291153,0.8075117370892019
20News,4,0,32,second_moment,0.7829313543599258,0.7766587346024636,0.8109854604200323
20News,4,0,32,covariance,0.7699443413729128,0.7627309630459127,0.8006430868167203
20News,4,0,50,second_moment,0.7847866419294991,0.7754059350503919,0.8164556962025317
20News,4,0,50,covariance,0.7773654916512059,0.7746220604703247,0.8013245033112583
20News,4,0,64,second_moment,0.7810760667903525,0.7716335386338187,0.8132911392405063
20News,4,0,64,covariance,0.7866419294990723,0.7818798992161253,0.8123980424143556
20News,4,0,128,second_moment,0.7829313543599258,0.7776245800671893,0.8097560975609757
20News,4,0,128,covariance,0.7922077922077922,0.7882628779395296,0.8163934426229508
20News,4,1,8,second_moment,0.6790352504638218,0.6640819291921647,0.7334360554699538
20News,4,1,8,covariance,0.686456400742115,0.6734288987621203,0.7363494539781591
20News,4,1,16,second_moment,0.7142857142857143,0.7041663173778188,0.7555555555555555
20News,4,1,16,covariance,0.7291280148423006,0.7183195014949563,0.7697160883280757
20News,4,1,32,second_moment,0.7421150278293135,0.737174113504904,0.7717569786535303
20News,4,1,32,covariance,0.7402597402597403,0.7346103333612765,0.7712418300653595
