String,Order,Type,Importance
ZIXZIZ,4,XZZZ,0.872033620104185
IZXZIZ,4,XZZZ,0.7737248876510694
IIXIZZ,3,XZZ,0.7032736309474357
ZZXIZZ,5,XZZZZ,0.6250674361221293
IIZXZI,3,XZZ,0.6088170765678613
IZXZZZ,5,XZZZZ,0.6043471681095467
ZIXZZZ,5,XZZZZ,0.5896316717046857
XXZXXX,6,XXXXXZ,0.5817685402126325
IZIZXZ,4,XZZZ,0.5814707003923372
ZIIZXZ,4,XZZZ,0.5730109015323432
ZIIXIZ,3,XZZ,0.5625899826214572
IYYZZI,4,YYZZ,0.5360816444691172
IIZZZX,4,XZZZ,0.5193385053866372
YXZYZX,6,XXYYZZ,0.5178848830087734
ZZIYIY,4,YYZZ,0.5177168073402557
IZIXIZ,3,XZZ,0.5127193268367399
ZZYYIZ,5,YYZZZ,0.5081911359024487
IYYIZX,4,XYYZ,0.5053860376390419
IIXXIZ,3,XXZ,0.5052982285733528
IIIIII,0,,0.5013034252057501
ZIXIZI,3,XZZ,0.4976748346576843
IIZIXI,2,XZ,0.4926840719796195
ZZZXZI,5,XZZZZ,0.4897483192304221
XXIYXY,5,XXXYY,0.48650728780791996
ZZXZZI,5,XZZZZ,0.48462244541692445
ZZIZZX,5,XZZZZ,0.47757028015948827
IIXZZI,3,XZZ,0.47449822149848225
IIXZII,2,XZ,0.4727587046749503
XYIYZX,5,XXYYZ,0.470556317040892
IIIZZX,3,XZZ,0.4604743611565815
XYZYZX,6,XXYYZZ,0.4572461736555815
ZZZIXI,4,XZZZ,0.4567572671153751
ZZZIXZ,5,XZZZZ,0.44832200726955956
YYIXXX,5,XXXYY,0.4461353917708687
IXZYYZ,5,XYYZZ,0.44104131615572223
ZZZYIY,5,YYZZZ,0.44099466202905524
ZIIZXI,3,XZZ,0.4406242313541177
ZIIYIY,3,YYZ,0.440191019894961
ZZIXIZ,4,XZZZ,0.4395090540509161
IZZYIY,4,YYZZ,0.43666328452084874
XXXYZY,6,XXXYYZ,0.4341189725686903
