String,Order,Type,Importance
IZYZIY,4,YYZZ,0.1591097173480885
IZIZZZ,4,ZZZZ,0.1322760495245905
ZZIIII,2,ZZ,0.13093365234673793
IZYZYX,5,XYYZZ,0.12948570187629393
IZZIII,2,ZZ,0.12809134756834997
IZYZXY,5,XYYZZ,0.12605854353685586
ZZYYXX,6,XXYYZZ,0.12378158789489735
IXIIXI,2,XX,0.12364424532250932
ZIIZIX,3,XZZ,0.12151291229751786
IXIIII,1,X,0.12151016099699155
ZZIYXY,5,XYYZZ,0.12067443258015223
ZIIZII,2,ZZ,0.12023981426260928
ZZIXXX,5,XXXZZ,0.12007349233407663
ZZIZZI,4,ZZZZ,0.1194837444344996
IIIIXI,1,X,0.11819630262490315
ZXIZIX,4,XXZZ,0.11799146209071842
ZZYIZY,5,YYZZZ,0.11584760705005057
IZYIZY,4,YYZZ,0.11499793184018645
ZZYZIY,5,YYZZZ,0.114401345892071
ZZYZYX,6,XYYZZZ,0.11335648467391099
IXXIII,2,XX,0.11322510786675824
ZZZIII,3,ZZZ,0.11321913531495424
ZIIZZI,3,ZZZ,0.1128650915825409
ZZYZXY,6,XYYZZZ,0.11187493354687927
IXIZXZ,4,XXZZ,0.11177378322883222
ZZIZIX,4,XZZZ,0.1117680691439467
ZIIZXX,4,XXZZ,0.11093748213543023
ZIZYYX,5,XYYZZ,0.10965450749132748
XIXXXI,4,XXXX,0.10964392811688259
IIIIIX,1,X,0.10950242777136773
XXIZZI,4,XXZZ,0.10879635793575901
IIIZZX,3,XZZ,0.10856309833177483
ZIZYXY,5,XYYZZ,0.10852311931455225
IXIZZI,3,XZZ,0.10759676348920762
YZXXYX,6,XXXYYZ,0.10676972608910099
IZYIIY,3,YYZ,0.10576235660526054
IIIIYY,2,YY,0.10571453309000609
IZZYXY,5,XYYZZ,0.10546782824554142
XXIIII,2,XX,0.10544830926809493
IYZZIY,4,YYZZ,0.10528452052333345
XYXXXY,6,XXXXYY,0.10507323106804664
ZZYXYX,6,XXYYZZ,0.10440964858942611
ZIYIZY,4,YYZZ,0.10365186779392555
IIIIXX,2,XX,0.10346339355153608
ZIYXYX,5,XXYYZ,0.10247506328003567
IIXXII,2,XX,0.10232893537326959
IIXZIZ,3,XZZ,0.10190612688058612
ZIZIII,2,ZZ,0.10092013625490101
IZIIIZ,2,ZZ,0.1005740589943431
IIXIII,1,X,0.10034951054606656
ZIIIZI,2,ZZ,0.10030210480616161
ZIIIZX,3,XZZ,0.10002803944094837
IXIIZI,2,XZ,0.09993600029662739
YYIYYI,4,YYYY,0.09984014725428826
ZYIZXY,5,XYYZZ,0.09911184427851323
IZZZXZ,5,XZZZZ,0.09910400199836683
XXYYXX,6,XXXXYY,0.09902242528741448
IZIZZI,3,ZZZ,0.09897109445309574
YZYXXZ,6,XXYYZZ,0.09890642737332991
ZXYIZY,5,XYYZZ,0.09887402695741616
IXIIXX,3,XXX,0.09872421209313009
IZZIXI,3,XZZ,0.09815364093704265
XIXIII,2,XX,0.09814304253293799
ZIXIZZ,4,XZZZ,0.09813171691851727
YYIZII,3,YYZ,0.09748707844292932
IXXYZY,5,XXYYZ,0.09726568938193667
XXIXXI,4,XXXX,0.0969613083996237
YIIYZI,3,YYZ,0.09687811708572577
IZIYXY,4,XYYZ,0.09675130838764434
ZIYZIY,4,YYZZ,0.09661053285688075
ZYIYXX,5,XXYYZ,0.09639980936076795
XYYIII,3,XYY,0.09638529568000695
YXYYXY,6,XXYYYY,0.0962588648701133
ZXIIZX,4,XXZZ,0.09624464048410616
ZZZZZI,5,ZZZZZ,0.09599765462664449
XYYYYX,6,XXYYYY,0.09560071846609129
YXYYIY,5,XYYYY,0.09539270608148932
XYIXYX,5,XXXYY,0.09535072229283749
ZZYYXI,5,XYYZZ,0.09525395639145492
IIYYXI,3,XYY,0.09524539089025344
ZZXIZI,4,XZZZ,0.09503775970684694
YYIIII,2,YY,0.09501757412953749
YXXXYI,5,XXXYY,0.09482496628335109
XYYXYY,6,XXYYYY,0.094730308522213
XIXXXX,5,XXXXX,0.09466263512593209
XYXXZY,6,XXXYYZ,0.09463493475488191
ZIZIZZ,4,ZZZZ,0.09454440062924035
XXIIIX,3,XXX,0.09449591659999128
YXYIZZ,5,XYYZZ,0.09444934630406908
XXXYYX,6,XXXXYY,0.09425665880565061
ZXYIXY,5,XXYYZ,0.09394257081802249
IIYIZY,3,YYZ,0.09392828396579408
IXIZII,2,XZ,0.09392128079816493
ZYIIXY,4,XYYZ,0.09386678754353756
IXIIIX,2,XX,0.0935923058627551
IIXXZZ,4,XXZZ,0.09352296962653454
IZZIZZ,4,ZZZZ,0.09346586812688641
ZIZZZX,5,XZZZZ,0.09338883444676313
IIYXYI,3,XYY,0.09333134460056666
ZIIIZZ,3,ZZZ,0.09288281029675888
IIIIZZ,2,ZZ,0.0928640488488682
ZXZZII,4,XZZZ,0.09275165694185265
YYIXXI,4,XXYY,0.09267766495631907
YXYZZI,5,XYYZZ,0.09267477637341268
ZZYYYY,6,YYYYZZ,0.09264367613698855
YZIZYI,4,YYZZ,0.09254381712997364
XXIXXX,5,XXXXX,0.09252862176893482
YXYZII,4,XYYZ,0.09250512674857825
ZZYZZY,6,YYZZZZ,0.092369589303054
IZYZZY,5,YYZZZ,0.0922762096449089
IXXXYY,5,XXXYY,0.09221016188825211
XXYYXI,5,XXXYY,0.09218345206762385
YXYXXX,6,XXXXYY,0.0920031475165222
IIIZZI,2,ZZ,0.09186101728973439
ZZYXXY,6,XXYYZZ,0.091649390744548
ZXYXXY,6,XXXYYZ,0.09139644232118177
YIYIZI,3,YYZ,0.09137781076639291
XYYZIZ,5,XYYZZ,0.0912967100225218
YXYXYY,6,XXYYYY,0.09126008399488995
YIZYYY,5,YYYYZ,0.09120686912524854
IZXIZI,3,XZZ,0.0911422410273306
YIIIYI,2,YY,0.09102229743039515
ZYYZZI,5,YYZZZ,0.0908269904583614
XIIXXI,3,XXX,0.0908224735549667
ZXYZXY,6,XXYYZZ,0.0907114807494511
IYYIZI,3,YYZ,0.09048258320203877
ZXIZII,3,XZZ,0.09042970047531174
ZXZYIY,5,XYYZZ,0.09042309046897437
ZZYIYI,4,YYZZ,0.09033345487702
XIXXII,3,XXX,0.09021312303279409
ZXXXZI,5,XXXZZ,0.08995424512451335
IXZZIX,4,XXZZ,0.08978876504478309
XYZYZI,5,XYYZZ,0.0897100522898522
XXIZZX,5,XXXZZ,0.08965521428781004
ZYZIXY,5,XYYZZ,0.0896440402126983
IZZZZI,4,ZZZZ,0.08962416221635902
IYIXYX,4,XXYY,0.08949855928550238
IXXYIY,4,XXYY,0.08922336277343734
YXXYXI,5,XXXYY,0.08888652620628942
IYYIIX,3,XYY,0.08879208505059914
YXIYXI,4,XXYY,0.08874749621178026
YYXZYY,6,XYYYYZ,0.0885988524657604
YXYXZI,5,XXYYZ,0.08838364762915052
ZZXYIY,5,XYYZZ,0.0882632080325368
ZIYIXY,4,XYYZ,0.08813255569974261
YYXZXX,6,XXXYYZ,0.08811822859325073
ZIZZZI,4,ZZZZ,0.08804005816526513
IZIIZX,3,XZZ,0.08788036558266443
XXXIII,3,XXX,0.08781525291412136
IIXXYY,4,XXYY,0.0877903485396128
XIIYYI,3,XYY,0.08771201290179045
YXXYYY,6,XXYYYY,0.08757911932726402
IXXIIX,3,XXX,0.08756237547007936
IYYZZI,4,YYZZ,0.08743662817847558
ZXIZYY,5,XYYZZ,0.08741037983549467
ZIXZZI,4,XZZZ,0.08738526960181717
YXYZIZ,5,XYYZZ,0.08726905879592686
IIYZIY,3,YYZ,0.08712955200715047
IIIYYI,2,YY,0.08712376017164011
XIIXXX,4,XXXX,0.08711480681848752
IIYZYX,4,XYYZ,0.08703216200975766
IZIZYY,4,YYZZ,0.08701024167371882
XIXXIX,4,XXXX,0.08686477857464638
YIZYZI,4,YYZZ,0.08683437965348884
ZIYYXZ,5,XYYZZ,0.08681110119208317
XIXYYI,4,XXYY,0.08678351760444121
XIIXYY,4,XXYY,0.08674797995816724
ZZXIII,3,XZZ,0.08652587339494859
IZIIIX,2,XZ,0.08643277373262939
XIZZII,3,XZZ,0.08636743552140394
ZXIZXI,4,XXZZ,0.08622205568875918
ZIXIZX,4,XXZZ,0.08618560490933716
ZYIZIY,4,YYZZ,0.08610733113965541
YYIIIX,3,XYY,0.08610587480250988
IZZZIZ,4,ZZZZ,0.08609780163268721
ZYYZZZ,6,YYZZZZ,0.08579200313524625
ZYIYXZ,5,XYYZZ,0.08578654468273521
ZIYXZY,5,XYYZZ,0.08571065677063894
XYYXIZ,5,XXYYZ,0.08566603723042948
ZZIXZX,5,XXZZZ,0.08563060825857918
ZYYIZI,4,YYZZ,0.08553604427539903
ZZIYYX,5,XYYZZ,0.08551635754219071
IZIZXZ,4,XZZZ,0.08538962780809753
XXIIXI,3,XXX,0.08533918524383995
IYZXXY,5,XXYYZ,0.08527759065170028
IIIZXZ,3,XZZ,0.08513484045107658
ZZIXYY,5,XYYZZ,0.08503667939456304
IXXZZI,4,XXZZ,0.08495324148088106
XXIYYX,5,XXXYY,0.0849444356846352
ZZZZZX,6,XZZZZZ,0.08492337258776281
IXIXXX,4,XXXX,0.08490395481911554
XIZZXX,5,XXXZZ,0.08486302967175252
ZIIIII,1,Z,0.08479342979426338
YXYXIX,5,XXXYY,0.08472460500373298
IXXIXI,3,XXX,0.08459062293260756
IIIIZI,1,Z,0.0845504017029199
XYYYIY,5,XYYYY,0.0842454653766455
IZYXXY,5,XXYYZ,0.08411452533457282
ZYIYXI,4,XYYZ,0.08409600168305387
IZIIII,1,Z,0.08409215715172887
IZYYXX,5,XXYYZ,0.08380190184228604
ZZIYYI,4,YYZZ,0.08364014606479873
IZZIZX,4,XZZZ,0.08337357080674998
ZZXZZI,5,XZZZZ,0.08336064575704663
IXXZZX,5,XXXZZ,0.08327913854218358
ZIXZZX,5,XXZZZ,0.08323979714743072
ZYXXIY,5,XXYYZ,0.0831549406776074
IIYXYX,4,XXYY,0.08309749206861293
ZZXIXX,5,XXXZZ,0.08304193261319302
XYZYII,4,XYYZ,0.0829969705471637
ZXXZYY,6,XXYYZZ,0.08297916827194378
IXYXYX,5,XXXYY,0.08290386058092332
ZIIYYI,3,YYZ,0.0828418105312956
XIXYYX,5,XXXYY,0.082604406682634
YIZYIZ,4,YYZZ,0.08259416146247545
XYIXYI,4,XXYY,0.0825508269090072
ZIIZXI,3,XZZ,0.08233198210088082
XZIZXI,4,XXZZ,0.08225659880918362
XYXYYY,6,XXYYYY,0.08220167007962734
YXIIIY,3,XYY,0.08216492828456202
YYIZZZ,5,YYZZZ,0.08216396002234852
ZIXIZI,3,XZZ,0.08216230112877844
IXYZYI,4,XYYZ,0.082156145846009
XXIZYY,5,XXYYZ,0.0821540354647341
