dataset,n_qubits,seed,preprocessing,accuracy,balanced,f1
20News,4,0,raw (paper),0.7532467532467533,0.7493770996640537,0.7808896210873146
20News,4,0,L2 row-norm (repo),0.7495361781076066,0.7431900895856662,0.7811993517017828
EColi,4,0,raw (paper),0.9311531841652324,0.7901185770750988,0.6923076923076923
EColi,4,0,L2 row-norm (repo),0.9328743545611016,0.8138208168642951,0.7153284671532847
20News,4,1,raw (paper),0.6920222634508348,0.6788498616816163,0.7414330218068536
20News,4,1,L2 row-norm (repo),0.7068645640074211,0.6939111968033085,0.7538940809968847
EColi,4,1,raw (paper),0.9104991394148021,0.7845971308380972,0.6338028169014085
EColi,4,1,L2 row-norm (repo),0.9173838209982789,0.8061293280120807,0.6666666666666666
20News,4,2,raw (paper),0.7142857142857143,0.7161251198736391,0.7398648648648649
20News,4,2,L2 row-norm (repo),0.738404452690167,0.7346843797596886,0.7699836867862969
EColi,4,2,raw (paper),0.9328743545611016,0.8144568311195446,0.738255033557047
EColi,4,2,L2 row-norm (repo),0.9345955249569707,0.8252134724857685,0.75
