Rank,String,Score
1,IXZZ,1.4376172946140284
2,IXXX,1.0521116927722665
3,XIZZ,1.0287287844979591
4,ZYYZ,0.7618869832147998
5,IIII,0.7177054729551471
6,YYXZ,0.666137705089108
7,ZXIZ,0.6519146160407161
8,IZZX,0.610569417717234
9,ZZZX,0.5893900807033031
10,ZZXZ,0.5765220175188106
11,YYXI,0.5498653331010163
12,XIZI,0.496148530315383
13,IYIY,0.4598877870714902
14,XXIZ,0.4467032784161861
15,ZYXY,0.3749262949728363
16,YZYZ,0.3640114893446656
17,YXZY,0.3579651198722156
18,XYXY,0.33135550162854405
19,IYYX,0.3178163891823107
20,ZZXI,0.3129264200211112
21,IXZI,0.2928381902243987
22,IZXZ,0.2840200125534122
23,ZXXX,0.28072423348168046
24,XZXI,0.2739031465678695
25,XZII,0.2597165820831631
26,YIZY,0.24725558707875445
27,YXYZ,0.2472500562009993
28,IZXX,0.2466107348779978
29,YXYX,0.24284912870260816
30,ZIII,0.23931245389761618
31,IXXI,0.216559044165904
32,IIYY,0.21344582946507007
33,XIII,0.20931858816152132
34,ZYIY,0.20308862616072637
35,ZXZZ,0.19923296043191793
36,IIIX,0.19850646744138314
37,ZIZZ,0.19361047523052582
38,IXIZ,0.18455426517325943
39,XYYI,0.17543509915015804
40,YZYI,0.16901277191620478
41,XYZY,0.16494452891871308
42,YZYX,0.1553592997053437
43,IYZY,0.14460797931400246
44,XYYX,0.1434339643505199
45,ZXXI,0.14150905623902377
46,ZXII,0.13669696141028076
47,ZXZX,0.13646988953513117
48,IZZI,0.12398934382096763
49,XYYZ,0.11895941934433278
50,XIXI,0.1127719103972308
51,ZXXZ,0.10402574188217005
52,XZZZ,0.09699899907480285
53,ZZZI,0.09474705557771484
54,IIZX,0.09339744194311923
55,ZIYY,0.09188681653870641
56,ZIIX,0.08920073350068104
57,XXZZ,0.0795291232626569
58,IZIZ,0.07626503281037393
59,XIIX,0.0747667284697855
60,XXII,0.07247188087983986
61,IIIZ,0.0612667133906821
62,XIXZ,0.06033619231185885
63,XXYY,0.05673634415171136
64,XZYY,0.05611499214613288
65,YYZX,0.05592064327930926
66,IIZZ,0.0551304664655327
67,XZZX,0.05396528228708877
68,XZXZ,0.05332169063344674
69,IYYZ,0.05330206450992999
70,ZZII,0.052621247289355494
71,IXYY,0.052220348502672244
72,XZZI,0.05137536247360249
73,ZZZZ,0.049922326456674514
74,YIYX,0.04971229704519785
75,YIYI,0.04833327331191397
76,XZIZ,0.04701528498203109
77,IIXX,0.046495094381125486
78,ZIXX,0.04515597104194387
79,XZIX,0.0440765653575705
80,XIYY,0.04366445354615141
81,ZZYY,0.041263736045189854
82,ZZIX,0.04126355527555465
83,YIYZ,0.037381876999977526
84,YYZI,0.03711435952733159
85,XIIZ,0.03513678538633579
86,YZXY,0.03449910983527581
87,YYIZ,0.03341410403308843
88,IYYI,0.033345630448099045
89,IXIX,0.03309057870602964
90,XYIY,0.03217530533844409
91,ZIXI,0.03147326549016518
92,ZIZX,0.02982271870079106
93,IZIX,0.029786510522627836
94,IXZX,0.029272744512134137
95,IZXI,0.028840124166517003
96,ZIZI,0.025379614194007125
97,YXYI,0.025337692982731162
98,YXIY,0.024397709680570805
99,ZYYI,0.023906969288100155
100,IYXY,0.02305501268302672
101,ZXZI,0.022922148593993608
102,ZZXX,0.022112935571292573
103,IIXZ,0.02013767550458954
104,YYYY,0.020049682137763064
105,YZIY,0.01843465339302953
106,IIXI,0.018065532319288664
107,YIIY,0.01802363963509651
108,YYIX,0.016339736941038727
109,YYXX,0.01622799794960486
110,YYZZ,0.013872889959232118
111,ZXIX,0.013063371245439924
112,IXXZ,0.012418489221505458
113,ZZIZ,0.011768686401654124
114,IZZZ,0.010489946667665687
115,YYII,0.009957499363809047
116,YZZY,0.009887687268995858
117,XIXX,0.00968516191434949
118,XXXI,0.008592900000906536
119,XXIX,0.008483645232606888
120,XXZX,0.008117008186667
121,IXII,0.00781242794674466
122,ZXYY,0.007806452301160159
123,XXXX,0.00663374270862401
124,IZYY,0.005087669482852404
125,ZIIZ,0.004488178295495691
126,ZYZY,0.002901184866929958
127,IIZI,0.0026860826048856934
128,YIXY,0.0024402656976151107
129,IZII,0.002141474225949119
130,YXXY,0.0020430405936784687
131,XIZX,0.001867675218815952
132,XZXX,0.001807561213762603
133,XXXZ,0.001709036963009328
134,ZIXZ,0.001459390598999414
135,XXZI,0.0011322848845420933
136,ZYYX,0.0002916164664014035
137,YIZX,0.0
138,YIZI,0.0
139,YXXX,0.0
140,YXXZ,0.0
141,YXXI,0.0
142,YXIZ,0.0
143,YXIX,0.0
144,YXII,0.0
145,YXZX,0.0
146,YXZI,0.0
147,YXZZ,0.0
148,YXYY,0.0
149,YZXZ,0.0
150,YZXX,0.0
151,YZZZ,0.0
152,YZYY,0.0
153,YZZX,0.0
154,YZZI,0.0
155,YYYZ,0.0
156,YYZY,0.0
157,YYYI,0.0
158,YYYX,0.0
159,YYXY,0.0
160,YYIY,0.0
161,YZXI,0.0
162,YZIZ,0.0
163,YZIX,0.0
164,YZII,0.0
165,ZYXZ,0.0
166,ZYXX,0.0
167,ZYZZ,0.0
168,ZYYY,0.0
169,ZYZX,0.0
170,ZYZI,0.0
171,ZZYZ,0.0
172,ZZZY,0.0
173,ZZYI,0.0
