dataset,seed,k,p,C,mean_weight,coef_norm,balanced,f1
EColi,0,4,0.0,0.01,2.0,0.8912716514644541,0.5,0.0
EColi,0,4,0.0,0.1,2.0,1.8047317550211617,0.5854281949934124,0.28865979381443296
EColi,0,4,0.0,1.0,2.0,2.734461891903405,0.6365349143610013,0.4
EColi,0,4,0.05,0.01,2.0,0.8816016433000569,0.5,0.0
EColi,0,4,0.05,0.1,2.0,1.8122461496473166,0.5854281949934124,0.28865979381443296
EColi,0,4,0.05,1.0,2.0,3.039717446690081,0.6298682476943347,0.38596491228070173
EColi,0,4,0.1,0.01,2.0,0.8668730295163196,0.5,0.0
EColi,0,4,0.1,0.1,2.0,1.8298369767158422,0.5597496706192359,0.21739130434782608
EColi,0,4,0.1,1.0,2.0,3.2654098103841784,0.5977733860342556,0.32
EColi,0,4,0.2,0.01,2.0,0.8363858459176617,0.5,0.0
EColi,0,4,0.2,0.1,2.0,1.8652535571161544,0.5397496706192358,0.15730337078651685
EColi,0,4,0.2,1.0,2.0,2.7859934043885506,0.5957971014492753,0.3137254901960784
EColi,0,4,0.3,0.01,2.0,0.8110471552737805,0.5,0.0
EColi,0,4,0.3,0.1,2.0,1.8987300562883282,0.5,0.0
EColi,0,4,0.3,1.0,2.0,3.4890289862181976,0.5977733860342556,0.32
EColi,0,8,0.0,0.01,2.375,0.9136601168655636,0.5,0.0
EColi,0,8,0.0,0.1,2.375,1.7455776702018846,0.5654281949934123,0.23404255319148937
EColi,0,8,0.0,1.0,2.375,2.456050619214249,0.6308563899868247,0.3893805309734513
EColi,0,8,0.05,0.01,2.375,0.9045806460429697,0.5,0.0
EColi,0,8,0.05,0.1,2.375,1.8103715070434843,0.5644400527009222,0.23157894736842105
EColi,0,8,0.05,1.0,2.375,2.56572250668194,0.6308563899868247,0.3893805309734513
EColi,0,8,0.1,0.01,2.375,0.8913339069377211,0.5,0.0
EColi,0,8,0.1,0.1,2.375,1.8645805477151818,0.5597496706192359,0.21739130434782608
EColi,0,8,0.1,1.0,2.375,2.727028650981583,0.6241897233201581,0.375
EColi,0,8,0.2,0.01,2.375,0.8536820640248795,0.5,0.0
EColi,0,8,0.2,0.1,2.375,1.9279503644566538,0.5464163372859024,0.17777777777777778
EColi,0,8,0.2,1.0,2.375,3.217830764154441,0.5777733860342555,0.26804123711340205
EColi,0,8,0.3,0.01,2.375,0.8197850207040976,0.5,0.0
EColi,0,8,0.3,0.1,2.375,1.9620636503164959,0.5266666666666666,0.10126582278481013
EColi,0,8,0.3,1.0,2.375,3.6386426927441042,0.5720948616600791,0.25263157894736843
EColi,0,16,0.0,0.01,2.5,0.9341759739814406,0.5,0.0
EColi,0,16,0.0,0.1,2.5,1.9874430690932092,0.5837022397891963,0.2857142857142857
EColi,0,16,0.0,1.0,2.5,4.693957672467742,0.7698682476943346,0.6370370370370371
EColi,0,16,0.05,0.01,2.5,0.9264585669040218,0.5,0.0
EColi,0,16,0.05,0.1,2.5,2.0334101455161906,0.5713570487483531,0.25
EColi,0,16,0.05,1.0,2.5,4.706851522081513,0.7641897233201581,0.631578947368421
EColi,0,16,0.1,0.01,2.5,0.9102219182685224,0.5,0.0
EColi,0,16,0.1,0.1,2.5,2.0716989339076184,0.5713570487483531,0.25
EColi,0,16,0.1,1.0,2.5,4.803566293614743,0.7575230566534914,0.6212121212121212
EColi,0,16,0.2,0.01,2.5,0.8723977637170074,0.5,0.0
EColi,0,16,0.2,0.1,2.5,2.114900397358065,0.5646903820816864,0.22988505747126436
EColi,0,16,0.2,1.0,2.5,4.856196634534404,0.7118445322793149,0.5483870967741935
EColi,0,16,0.3,0.01,2.5,0.8339099902599955,0.5,0.0
EColi,0,16,0.3,0.1,2.5,2.130900310884627,0.5456785243741765,0.1686746987951807
EColi,0,16,0.3,1.0,2.5,5.128008116469859,0.6427140974967063,0.43564356435643564
EColi,0,32,0.0,0.01,2.75,0.9597143297735643,0.5523451910408432,0.19047619047619047
EColi,0,32,0.0,0.1,2.75,1.9585725186545195,0.7187615283267457,0.5811965811965812
EColi,0,32,0.0,1.0,2.75,4.622697511464129,0.8108563899868247,0.7
EColi,0,32,0.05,0.01,2.75,0.9642746764785952,0.5256785243741765,0.1
EColi,0,32,0.05,0.1,2.75,2.0231137476214753,0.7120948616600791,0.5689655172413793
EColi,0,32,0.05,1.0,2.75,4.717292060344594,0.804189723320158,0.6906474820143885
EColi,0,32,0.1,0.01,2.75,0.9523400860999497,0.5133333333333333,0.05194805194805195
EColi,0,32,0.1,0.1,2.75,2.100059257215797,0.692094861660079,0.5309734513274337
EColi,0,32,0.1,1.0,2.75,4.827400045803941,0.7844400527009223,0.6875
EColi,0,32,0.2,0.01,2.75,0.9041621338917486,0.5,0.0
