dataset,n_qubits,k,method,accuracy,f1,auc
20Newsgroups,4,32,Spectral,0.8107606679035251,0.8305647840531561,0.8530935050391937
20Newsgroups,4,32,QMI,0.7922077922077922,0.819935691318328,0.8550671892497201
20Newsgroups,4,32,Random,0.7309833024118738,0.7642276422764228,0.8074188129899218
20Newsgroups,4,50,Spectral,0.8163265306122449,0.839546191247974,0.8702127659574469
20Newsgroups,4,50,QMI,0.8237476808905381,0.8455284552845529,0.8785834266517357
20Newsgroups,4,50,Random,0.8033395176252319,0.8250825082508251,0.8713465845464726
20Newsgroups,4,128,Spectral,0.8181818181818182,0.8388157894736842,0.8914053751399775
20Newsgroups,4,128,QMI,0.8293135435992579,0.8496732026143791,0.8843225083986563
20Newsgroups,4,128,Random,0.8367346938775511,0.8585209003215434,0.8786114221724524
EColi,4,32,Spectral,0.9380378657487092,0.75,0.9063241106719369
EColi,4,32,QMI,0.8932874354561101,0.29545454545454547,0.8349934123847168
EColi,4,32,Random,0.8932874354561101,0.3404255319148936,0.8816600790513834
EColi,4,50,Spectral,0.9345955249569707,0.7323943661971831,0.9206851119894597
EColi,4,50,QMI,0.9070567986230637,0.5,0.8914097496706193
EColi,4,50,Random,0.8726333907056799,0.02631578947368421,0.512068511198946
EColi,4,128,Spectral,0.9414802065404475,0.7763157894736842,0.9092226613965746
EColi,4,128,QMI,0.9363166953528399,0.7338129496402878,0.9015546772068511
EColi,4,128,Random,0.8950086058519794,0.5343511450381679,0.8731488801054017
