train_f1,test_f1,train_bal,test_bal,dataset,n_qubits,seed,arm,k,n_live,n_train,k_over_n,gap_f1,gap_bal
0.0,0.0,0.5,0.5,EColi,4,0,spectral,1,136,1354,0.0007385524372230429,0.0,0.0
0.33451957295373663,0.30303030303030304,0.6047838668837041,0.591106719367589,EColi,4,0,spectral,2,136,1354,0.0014771048744460858,0.031489269923433594,0.013677147516115151
0.4200626959247649,0.45528455284552843,0.6496834870681859,0.6669038208168643,EColi,4,0,spectral,3,136,1354,0.0022156573116691287,-0.03522185692076352,-0.017220333748678374
0.425,0.46774193548387094,0.6523150660155543,0.673570487483531,EColi,4,0,spectral,4,136,1354,0.0029542097488921715,-0.04274193548387095,-0.021255421467976654
0.4234527687296417,0.4482758620689655,0.6487158618194973,0.6585111989459815,EColi,4,0,spectral,6,136,1354,0.004431314623338257,-0.02482309333932381,-0.009795337126484283
0.4336569579288026,0.46153846153846156,0.6539790197142341,0.6651778656126481,EColi,4,0,spectral,8,136,1354,0.005908419497784343,-0.027881503609658964,-0.011198845898414023
0.6385542168674698,0.7384615384615385,0.7634834508952795,0.8130830039525692,EColi,4,0,spectral,12,136,1354,0.008862629246676515,-0.09990732159406868,-0.04959955305728969
0.6554621848739496,0.6712328767123288,0.7864170736118647,0.8049275362318841,EColi,4,0,spectral,16,136,1354,0.011816838995568686,-0.015770691838379203,-0.01851046262001932
0.6837606837606838,0.7448275862068966,0.7981777898354132,0.8441897233201581,EColi,4,0,spectral,24,136,1354,0.01772525849335303,-0.06106690244621282,-0.04601193348474486
0.6914285714285714,0.7651006711409396,0.8016684753119914,0.863201581027668,EColi,4,0,spectral,32,136,1354,0.023633677991137372,-0.07367209971236821,-0.061533105715676606
0.7014492753623188,0.75177304964539,0.8038162416350154,0.8404874835309618,EColi,4,0,spectral,48,136,1354,0.03545051698670606,-0.05032377428307122,-0.036671241895946394
0.7621776504297995,0.7272727272727273,0.8388316151202748,0.8308563899868248,EColi,4,0,spectral,64,136,1354,0.047267355982274745,0.034904923157072165,0.007975225133450059
0.7529411764705882,0.7801418439716312,0.827391933441852,0.8557971014492753,EColi,4,0,spectral,96,136,1354,0.07090103397341212,-0.027200667501042997,-0.02840516800742332
0.7543859649122807,0.7746478873239436,0.8295939591246156,0.8548089591567852,EColi,4,0,spectral,128,136,1354,0.09453471196454949,-0.020261922411662914,-0.025215000032169588
0.7543859649122807,0.7746478873239436,0.8295939591246156,0.8548089591567852,EColi,4,0,spectral,136,136,1354,0.10044313146233383,-0.020261922411662914,-0.025215000032169588
0.020833333333333332,0.0,0.5052631578947369,0.5,EColi,4,0,random_live,1,136,1354,0.0007385524372230429,0.020833333333333332,0.0052631578947368585
0.020833333333333332,0.0,0.5052631578947369,0.5,EColi,4,0,random_live,2,136,1354,0.0014771048744460858,0.020833333333333332,0.0052631578947368585
0.28448275862068967,0.2696629213483146,0.5829761258817147,0.5780237154150197,EColi,4,0,random_live,3,136,1354,0.0022156573116691287,0.01481983727237507,0.004952410466694923
0.28448275862068967,0.2857142857142857,0.5829761258817147,0.5837022397891963,EColi,4,0,random_live,4,136,1354,0.0029542097488921715,-0.0012315270935960299,-0.0007261139074816736
0.5871559633027523,0.6363636363636364,0.7350198950985711,0.7651778656126482,EColi,4,0,random_live,6,136,1354,0.004431314623338257,-0.04920767306088403,-0.030157970514077093
0.6202898550724638,0.6715328467153284,0.7609603906673901,0.7908563899868247,EColi,4,0,random_live,8,136,1354,0.005908419497784343,-0.05124299164286461,-0.029895999319434652
0.6666666666666666,0.7445255474452555,0.776587086272382,0.8291304347826087,EColi,4,0,random_live,12,136,1354,0.008862629246676515,-0.07785888077858882,-0.052543348510226684
0.6857142857142857,0.7194244604316546,0.798607343100018,0.8194993412384717,EColi,4,0,random_live,16,136,1354,0.011816838995568686,-0.033710174717368924,-0.02089199813845366
0.6745562130177515,0.7338129496402878,0.7853951890034364,0.8271541501976285,EColi,4,0,random_live,24,136,1354,0.01772525849335303,-0.05925673662253628,-0.04175896119419209
0.6936416184971098,0.7464788732394366,0.8003255561584373,0.8394993412384717,EColi,4,0,random_live,32,136,1354,0.023633677991137372,-0.05283725474232681,-0.03917378508003444
