dataset,seed,arm,k,p,budget,mean_weight,amplification,balanced,f1
EColi,0,spectral,4,0.0,1000.0,2.0,1.0,0.673570487483531,0.46774193548387094
EColi,0,spectral,4,0.0,10000.0,2.0,1.0,0.673570487483531,0.46774193548387094
EColi,0,spectral,4,0.0,inf,2.0,1.0,0.673570487483531,0.46774193548387094
EColi,0,spectral,4,0.01,1000.0,2.0,1.0273947332299627,0.673570487483531,0.46774193548387094
EColi,0,spectral,4,0.01,10000.0,2.0,1.0273947332299627,0.673570487483531,0.46774193548387094
EColi,0,spectral,4,0.01,inf,2.0,1.0273947332299627,0.673570487483531,0.46774193548387094
EColi,0,spectral,4,0.05,1000.0,2.0,1.1534321636817992,0.673570487483531,0.46774193548387094
EColi,0,spectral,4,0.05,10000.0,2.0,1.1534321636817992,0.673570487483531,0.46774193548387094
EColi,0,spectral,4,0.05,inf,2.0,1.1534321636817992,0.673570487483531,0.46774193548387094
EColi,0,spectral,4,0.1,1000.0,2.0,1.3588109660025909,0.673570487483531,0.46774193548387094
EColi,0,spectral,4,0.1,10000.0,2.0,1.3588109660025909,0.673570487483531,0.46774193548387094
EColi,0,spectral,4,0.1,inf,2.0,1.3588109660025909,0.673570487483531,0.46774193548387094
EColi,0,spectral,4,0.2,1000.0,2.0,2.04419097056212,0.673570487483531,0.46774193548387094
EColi,0,spectral,4,0.2,10000.0,2.0,2.04419097056212,0.673570487483531,0.46774193548387094
EColi,0,spectral,4,0.2,inf,2.0,2.04419097056212,0.673570487483531,0.46774193548387094
EColi,0,spectral,8,0.0,1000.0,2.375,1.0,0.6651778656126481,0.46153846153846156
EColi,0,spectral,8,0.0,10000.0,2.375,1.0,0.6651778656126481,0.46153846153846156
EColi,0,spectral,8,0.0,inf,2.375,1.0,0.6651778656126481,0.46153846153846156
EColi,0,spectral,8,0.01,1000.0,2.375,1.032531089911699,0.6651778656126481,0.46153846153846156
EColi,0,spectral,8,0.01,10000.0,2.375,1.032531089911699,0.6651778656126481,0.46153846153846156
