dataset,n_qubits,seed,k,arm,budget,shots_per_obs,dead_in_basis,wasted_shots,mean_abs_est_error,accuracy,balanced,f1
EColi,4,0,16,spectral,1000.0,62.0,0,0,0.11574366035362293,0.9225473321858864,0.8078919631093544,0.6853146853146853
EColi,4,0,16,spectral,10000.0,625.0,0,0,0.023943344791934718,0.9173838209982789,0.8049275362318841,0.6712328767123288
EColi,4,0,16,spectral,100000.0,6250.0,0,0,0.00800390240832241,0.9173838209982789,0.8049275362318841,0.6712328767123288
EColi,4,0,16,spectral,inf,inf,0,0,0.0,0.9173838209982789,0.8049275362318841,0.6712328767123288
EColi,4,0,16,random_live,1000.0,62.0,0,0,0.09477602699508625,0.9363166953528399,0.8214756258234519,0.7299270072992701
EColi,4,0,16,random_live,10000.0,625.0,0,0,0.0318803721594625,0.9363166953528399,0.8214756258234519,0.7299270072992701
EColi,4,0,16,random_live,100000.0,6250.0,0,0,0.008965472723905101,0.9363166953528399,0.8214756258234519,0.7299270072992701
EColi,4,0,16,random_live,inf,inf,0,0,0.0,0.9363166953528399,0.8214756258234519,0.7299270072992701
EColi,4,0,16,random_all,1000.0,62.0,6,372,0.0764233786728796,0.9122203098106713,0.6940711462450593,0.5405405405405406
EColi,4,0,16,random_all,10000.0,625.0,6,3750,0.02785341245784399,0.9122203098106713,0.6940711462450593,0.5405405405405406
EColi,4,0,16,random_all,100000.0,6250.0,6,37500,0.010485802232076381,0.9122203098106713,0.6940711462450593,0.5405405405405406
EColi,4,0,16,random_all,inf,inf,6,0,0.0,0.9122203098106713,0.6940711462450593,0.5405405405405406
EColi,4,0,32,spectral,1000.0,31.0,0,0,0.174111613296208,0.9397590361445783,0.863201581027668,0.7651006711409396
EColi,4,0,32,spectral,10000.0,312.0,0,0,0.04217103063039303,0.9397590361445783,0.863201581027668,0.7651006711409396
EColi,4,0,32,spectral,100000.0,3125.0,0,0,0.015059347698559513,0.9397590361445783,0.863201581027668,0.7651006711409396
EColi,4,0,32,spectral,inf,inf,0,0,0.0,0.9397590361445783,0.863201581027668,0.7651006711409396
EColi,4,0,32,random_live,1000.0,31.0,0,0,0.1115683703967621,0.9363166953528399,0.8157971014492753,0.725925925925926
EColi,4,0,32,random_live,10000.0,312.0,0,0,0.040765048834257044,0.9328743545611016,0.8081422924901186,0.7111111111111111
EColi,4,0,32,random_live,100000.0,3125.0,0,0,0.014084306116682873,0.9363166953528399,0.8157971014492753,0.725925925925926
EColi,4,0,32,random_live,inf,inf,0,0,0.0,0.9363166953528399,0.8157971014492753,0.725925925925926
EColi,4,0,32,random_all,1000.0,31.0,19,589,0.09355791342659783,0.9173838209982789,0.7822134387351778,0.6521739130434783
EColi,4,0,32,random_all,10000.0,312.0,19,5928,0.0482391398751678,0.9173838209982789,0.7822134387351778,0.6521739130434783
EColi,4,0,32,random_all,100000.0,3125.0,19,59375,0.016892121886311756,0.9173838209982789,0.7822134387351778,0.6521739130434783
EColi,4,0,32,random_all,inf,inf,19,0,0.0,0.9173838209982789,0.7822134387351778,0.6521739130434783
EColi,4,0,64,spectral,1000.0,15.0,0,0,0.20071575282112808,0.9328743545611016,0.8308563899868248,0.7272727272727273
EColi,4,0,64,spectral,10000.0,156.0,0,0,0.06225230929881153,0.9363166953528399,0.8385111989459815,0.7412587412587412
EColi,4,0,64,spectral,100000.0,1562.0,0,0,0.018705515614540317,0.9328743545611016,0.8308563899868248,0.7272727272727273
EColi,4,0,64,spectral,inf,inf,0,0,0.0,0.9328743545611016,0.8308563899868248,0.7272727272727273
EColi,4,0,64,random_live,1000.0,15.0,0,0,0.19447620184404335,0.9345955249569707,0.8318445322793149,0.7323943661971831
EColi,4,0,64,random_live,10000.0,156.0,0,0,0.06594420491833247,0.9414802065404475,0.852832674571805,0.7638888888888888
EColi,4,0,64,random_live,100000.0,1562.0,0,0,0.018336223706264775,0.9345955249569707,0.8318445322793149,0.7323943661971831
EColi,4,0,64,random_live,inf,inf,0,0,0.0,0.9345955249569707,0.8318445322793149,0.7323943661971831
EColi,4,0,64,random_all,1000.0,15.0,26,390,0.19758434107573042,0.9397590361445783,0.8461660079051383,0.7552447552447552
EColi,4,0,64,random_all,10000.0,156.0,26,4056,0.08111663193226396,0.9397590361445783,0.8461660079051383,0.7552447552447552
EColi,4,0,64,random_all,100000.0,1562.0,26,40612,0.017972412600189766,0.9397590361445783,0.8461660079051383,0.7552447552447552
EColi,4,0,64,random_all,inf,inf,26,0,0.0,0.9397590361445783,0.8461660079051383,0.7552447552447552
