dataset,n_qubits,seed,k,arm,accuracy,balanced,f1
EColi,4,0,8,spectral,0.891566265060241,0.6651778656126481,0.46153846153846156
EColi,4,0,8,random_live,0.9025817555938038,0.6987588932806323,0.5088755317981949
EColi,4,0,8,random_all,0.8950086058519794,0.6592042160737813,0.3917621179826221
EColi,4,0,16,spectral,0.9173838209982789,0.8049275362318841,0.6712328767123288
EColi,4,0,16,random_live,0.9352839931153184,0.8208827404479578,0.7265104390438297
EColi,4,0,16,random_all,0.9043029259896731,0.6747615283267457,0.4702832941297551
EColi,4,0,32,spectral,0.9397590361445783,0.863201581027668,0.7651006711409396
EColi,4,0,32,random_live,0.9452667814113598,0.8481923583662713,0.7718353254784078
EColi,4,0,32,random_all,0.9304647160068846,0.7908590250329381,0.6897139881266707
EColi,4,0,64,spectral,0.9345955249569707,0.8375230566534915,0.7361111111111112
EColi,4,0,64,random_live,0.9394148020654045,0.8414255599472991,0.7514638808562
EColi,4,0,64,random_all,0.9449225473321858,0.8457233201581028,0.7693560797068904
EColi,4,0,128,spectral,0.9432013769363167,0.8538208168642951,0.7692307692307693
EColi,4,0,128,random_live,0.9442340791738382,0.8555494071146246,0.7731113956466069
EColi,4,0,128,random_all,0.9387263339070568,0.8398945981554679,0.7485012420692199
EColi,4,1,8,spectral,0.9173838209982789,0.7943992018121022,0.6571428571428571
EColi,4,1,8,random_live,0.9025817555938038,0.7085158019631107,0.5232297062994391
EColi,4,1,8,random_all,0.8712564543889846,0.5486678891166002,0.17317819435466494
EColi,4,1,16,spectral,0.9173838209982789,0.8002642649120915,0.6619718309859155
EColi,4,1,16,random_live,0.9170395869191049,0.7836452378384209,0.6466646605208201
EColi,4,1,16,random_all,0.8915662650602411,0.7092546650846725,0.5110709890403555
EColi,4,1,32,spectral,0.9208261617900172,0.8022327688490993,0.6714285714285714
EColi,4,1,32,random_live,0.9153184165232359,0.7850070111099127,0.6440478092590769
EColi,4,1,32,random_all,0.8970740103270224,0.7006741451839069,0.5100759889286208
EColi,4,1,64,spectral,0.9173838209982789,0.788534138712113,0.6521739130434783
EColi,4,1,64,random_live,0.9132530120481928,0.7908639844676948,0.6451341421539205
EColi,4,1,64,random_all,0.9170395869191049,0.7965483766583971,0.6582259570494864
EColi,4,1,128,spectral,0.9104991394148021,0.7904621939380865,0.6388888888888888
EColi,4,1,128,random_live,0.9122203098106713,0.7961384963865819,0.6473533793192784
EColi,4,1,128,random_all,0.9094664371772806,0.791044655376982,0.6373799931253348
EColi,4,2,8,spectral,0.9139414802065404,0.744876660341556,0.6323529411764706
EColi,4,2,8,random_live,0.887091222030981,0.6609108159392789,0.45994755372374174
EColi,4,2,8,random_all,0.8774526678141136,0.6055479127134725,0.32227946916471506
EColi,4,2,16,spectral,0.919104991394148,0.8015180265654649,0.6967741935483871
EColi,4,2,16,random_live,0.9111876075731498,0.7305906072106263,0.587589224822103
EColi,4,2,16,random_all,0.887091222030981,0.653111954459203,0.43946883062222525
EColi,4,2,32,spectral,0.927710843373494,0.7968097722960152,0.7123287671232876
EColi,4,2,32,random_live,0.92736660929432,0.7985578747628084,0.7129096675187612
EColi,4,2,32,random_all,0.921170395869191,0.7744568311195446,0.6767675136590714
EColi,4,2,64,spectral,0.919104991394148,0.7722722960151802,0.6713286713286714
EColi,4,2,64,random_live,0.9187607573149741,0.773045540796964,0.6708196472539985
EColi,4,2,64,random_all,0.9259896729776248,0.7987262808349146,0.7079673810924936
EColi,4,2,128,spectral,0.9242685025817556,0.7947936432637571,0.7027027027027027
EColi,4,2,128,random_live,0.9235800344234079,0.7934155597722959,0.6999944472619448
EColi,4,2,128,random_all,0.9173838209982789,0.7741888045540797,0.6685479353124254
EColi,4,3,8,spectral,0.9139414802065404,0.7836683884778259,0.6753246753246753
EColi,4,3,8,random_live,0.8860585197934595,0.6792009865512588,0.4905990201580771
EColi,4,3,8,random_all,0.8740103270223752,0.6171901903299363,0.32369705720572056
EColi,4,3,16,spectral,0.9139414802065404,0.7931383498534134,0.6835443037974683
EColi,4,3,16,random_live,0.9029259896729777,0.75730373679557,0.6267029129851812
EColi,4,3,16,random_all,0.8702237521514629,0.6424263576713667,0.3972350499184075
EColi,4,3,32,spectral,0.9122203098106713,0.7873912234166318,0.6751592356687898
EColi,4,3,32,random_live,0.9170395869191049,0.7978012006142678,0.6936110530517767
EColi,4,3,32,random_all,0.9132530120481928,0.7861045185909069,0.6754580134790164
EColi,4,3,64,spectral,0.9156626506024096,0.7941504956024013,0.6878980891719745
EColi,4,3,64,random_live,0.9149741824440619,0.7909046488901298,0.68350634872374
EColi,4,3,64,random_all,0.9142857142857143,0.7942877751407698,0.6844766794570571
EColi,4,3,128,spectral,0.9139414802065404,0.7789334077900321,0.6710526315789473
EColi,4,3,128,random_live,0.9160068846815836,0.782041974963935,0.678093412338794
EColi,4,3,128,random_all,0.9146299483648882,0.7897552236027735,0.6816594843971195
EColi,4,4,8,spectral,0.9053356282271945,0.8228609625668449,0.6927374301675978
EColi,4,4,8,random_live,0.889156626506024,0.6966370090355891,0.5049331298110462
EColi,4,4,8,random_all,0.8719449225473322,0.6398188272174072,0.3760335030446461
EColi,4,4,16,spectral,0.9173838209982789,0.815957495851005,0.7108433734939759
EColi,4,4,16,random_live,0.9139414802065404,0.7961921445694266,0.6877957800998331
EColi,4,4,16,random_all,0.8908777969018933,0.7004517794578646,0.5161157019300258
EColi,4,4,32,spectral,0.9259896729776248,0.8163608703669556,0.7295597484276729
EColi,4,4,32,random_live,0.9173838209982789,0.8066222570532915,0.7035219268348103
EColi,4,4,32,random_all,0.9049913941480208,0.7713143094228287,0.6486263921114658
EColi,4,4,64,spectral,0.9242685025817556,0.8153466715839941,0.725
EColi,4,4,64,random_live,0.9239242685025817,0.8104762124285451,0.7205135400782643
EColi,4,4,64,random_all,0.9222030981067126,0.8178637285635256,0.7221502886696176
EColi,4,4,128,spectral,0.9225473321858864,0.8049972340033191,0.7133757961783439
EColi,4,4,128,random_live,0.9222030981067124,0.8047943942467268,0.7124727888414093
