Rank,String,Score
1,IXZZ,1.4376172946140284
2,IXXX,1.0521116927722665
3,XIZZ,1.0287287844979591
4,ZYYZ,0.7618869832147998
5,IIII,0.7177054729551471
6,YYXZ,0.666137705089108
7,ZXIZ,0.6519146160407161
8,IZZX,0.610569417717234
9,ZZZX,0.5893900807033031
10,ZZXZ,0.5765220175188106
11,YYXI,0.5498653331010163
12,XIZI,0.496148530315383
13,IYIY,0.4598877870714902
14,XXIZ,0.4467032784161861
15,ZYXY,0.3749262949728363
16,YZYZ,0.3640114893446656
17,YXZY,0.3579651198722156
18,XYXY,0.33135550162854405
19,IYYX,0.3178163891823107
20,ZZXI,0.3129264200211112
21,IXZI,0.2928381902243987
22,IZXZ,0.2840200125534122
23,ZXXX,0.28072423348168046
24,XZXI,0.2739031465678695
25,XZII,0.2597165820831631
26,YIZY,0.24725558707875445
27,YXYZ,0.2472500562009993
28,IZXX,0.2466107348779978
29,YXYX,0.24284912870260816
30,ZIII,0.23931245389761618
31,IXXI,0.216559044165904
32,IIYY,0.21344582946507007
33,XIII,0.20931858816152132
34,ZYIY,0.20308862616072637
35,ZXZZ,0.19923296043191793
36,IIIX,0.19850646744138314
37,ZIZZ,0.19361047523052582
38,IXIZ,0.18455426517325943
39,XYYI,0.17543509915015804
40,YZYI,0.16901277191620478
41,XYZY,0.16494452891871308
42,YZYX,0.1553592997053437
43,IYZY,0.14460797931400246
44,XYYX,0.1434339643505199
45,ZXXI,0.14150905623902377
46,ZXII,0.13669696141028076
47,ZXZX,0.13646988953513117
48,IZZI,0.12398934382096763
49,XYYZ,0.11895941934433278
50,XIXI,0.1127719103972308
51,ZXXZ,0.10402574188217005
52,XZZZ,0.09699899907480285
53,ZZZI,0.09474705557771484
54,IIZX,0.09339744194311923
55,ZIYY,0.09188681653870641
56,ZIIX,0.08920073350068104
57,XXZZ,0.0795291232626569
58,IZIZ,0.07626503281037393
59,XIIX,0.0747667284697855
60,XXII,0.07247188087983986
61,IIIZ,0.0612667133906821
62,XIXZ,0.06033619231185885
63,XXYY,0.05673634415171136
64,XZYY,0.05611499214613288
